referenced_idv_piid,piid,composite_key,sub_index,contract_number,uei,name,hours_invoiced,fte
47PB0018D0022,47PB0022F0127,47PB0018D0022~47PB0022F0127,1,180808-001,JZXZSN3BBL98,"Siemens Industry, Inc.",0,0
47PB0018D0023,47PB0021F0101,47PB0018D0023~47PB0021F0101,1,2123-08,DX4SQ2L6B8G5,ELECTRICAL CONTRACTORS INC.,357,0.17
47PB0018D0029,47PB0022F0112,47PB0018D0029~47PB0022F0112,1,18062-18-01,C85LE7HB6E75,ALL-BRIGHT SYSTEMS LLC,332,0.15
47PB0018D0029,47PB0022F0112,47PB0018D0029~47PB0022F0112,2,18062-18-02,PX8KJA2FP5Q1,"Banner Environmental Services, Inc.",183,0.08
47PB0018D0029,47PB0022F0112,47PB0018D0029~47PB0022F0112,3,18062-18-03,S7VFJ9J8MJ43,"BOSTON BUILDERS, INC.",184,0.08
47PB0018D0029,47PB0022F0112,47PB0018D0029~47PB0022F0112,4,18062-18-07,T8F5WM14D4J3,NORTHERN ELECTRIC INC,1884,0.9
47PB0018D0029,47PB0022F0112,47PB0018D0029~47PB0022F0112,5,18062-18-08,FJB3GG3PCLM1,"Superior Painting & Wallcovering Co., Inc.",95,0.04
47PB0018D0029,47PB0022F0112,47PB0018D0029~47PB0022F0112,6,18062-18-09,HM2SCK2MFV56,"VIXEN FIRE PROTECTION SERVICES, INC.",100,0.04
47PB0018D0029,47PB0022F0112,47PB0018D0029~47PB0022F0112,7,18062-18-12,UJBRUFL1D4F4,CUBICLE SOLUTIONS INC,54,0.02
47PB0018D0030,47PB0022F0040,47PB0018D0030~47PB0022F0040,1,1,ZZ2MGZND7GT7,FIRST CHOICE PAINTING & REMODELING LLC,40,0.01
47PB0018D0030,47PB0022F0040,47PB0018D0030~47PB0022F0040,2,2,U85VMZ4DBMY6,"GALAXY INTEGRATED TECHNOLOGIES, INC.",48,0.02
47PB0018D0030,47PB0022F0040,47PB0018D0030~47PB0022F0040,3,3,Q1L7KD31KBF5,"J. ZARRELLA PLUMBING AND HEATING CO., INC",458,0.22
47PB0018D0030,47PB0022F0040,47PB0018D0030~47PB0022F0040,4,4,FJB3GG3PCLM1,"Superior Painting & Wallcovering Co., Inc.",8,0
47PB0018D0030,47PB0023F0017,47PB0018D0030~47PB0023F0017,1,1,FJB3GG3PCLM1,"Superior Painting & Wallcovering Co., Inc.",436,0.2
47PB0018D0030,47PB0023F0072,47PB0018D0030~47PB0023F0072,1,1,FJB3GG3PCLM1,"Superior Painting & Wallcovering Co., Inc.",110,0.05
47PB0018D0030,47PB0023F0072,47PB0018D0030~47PB0023F0072,2,2,KJ3UD4FWP3U1,MTS SERVICES INC,136,0.06
47PB0018D0030,47PB0023F0072,47PB0018D0030~47PB0023F0072,3,3,Q1L7KD31KBF5,"J. ZARRELLA PLUMBING AND HEATING CO., INC",462,0.22
47PB0018D0030,47PB0023F0072,47PB0018D0030~47PB0023F0072,4,4,GG4NWUH63R37,EAGLE SPRINKLER,16,0
47PB0018D0032,47PB0022F0074,47PB0018D0032~47PB0022F0074,1,18064-55-01,YQEJQDRYBHL3,B L MECHANICAL INC,3194,1.53
47PB0018D0032,47PB0022F0074,47PB0018D0032~47PB0022F0074,2,18064-55-04,J74UQWKXLE47,ENVIROVANTAGE INC,1460,0.7
47PB0018D0032,47PB0022F0074,47PB0018D0032~47PB0022F0074,3,18064-55-06,EP8GY8NB6AF9,JOHNSON & JORDAN INC,768,0.36
47PB0018D0032,47PB0022F0074,47PB0018D0032~47PB0022F0074,4,18064-55-08,NM8HQCBEXAK6,"MATT'S CONSTRUCTION CO., LLC.",98,0.04
47PB0018D0032,47PB0022F0074,47PB0018D0032~47PB0022F0074,5,18064-55-15,KM2BQ32CQHK5,"PD INDUSTRIES, INC.",22,0.01
47PB0018D0032,47PB0022F0074,47PB0018D0032~47PB0022F0074,6,18064-55-18,FDB8F7BYAWD3,BLAKTOP INC,42,0.02
47PB0018D0032,47PB0022F0074,47PB0018D0032~47PB0022F0074,7,18064-55-20,RUM6KPPCGDE9,ESC CONSTRUCTION LLC,42,0.02
47PB0018D0032,47PB0022F0101,47PB0018D0032~47PB0022F0101,1,18064-61-01,YQEJQDRYBHL3,B L MECHANICAL INC,1958,0.94
47PB0018D0032,47PB0022F0101,47PB0018D0032~47PB0022F0101,2,18064-61-02,T8F5WM14D4J3,NORTHERN ELECTRIC INC,293,0.14
47PB0018D0032,47PB0023F0009,47PB0018D0032~47PB0023F0009,1,18064-69-01,YQEJQDRYBHL3,B L MECHANICAL INC,1086.5,0.52
47PB0018D0032,47PB0023F0009,47PB0018D0032~47PB0023F0009,2,18064-69-02,T8F5WM14D4J3,NORTHERN ELECTRIC INC,16,0
47PB0018D0032,47PB0023F0009,47PB0018D0032~47PB0023F0009,3,18064-69-04,ZKLML5CB7LP6,IRISHSPAN INDUSTRIES INC,18,0
47PB0018D0032,47PB0023F0009,47PB0018D0032~47PB0023F0009,4,18064-69-05,NM8HQCBEXAK6,"MATT'S CONSTRUCTION CO., LLC.",54,0.02
47PB0018D0036,47PB0021F0052,47PB0018D0036~47PB0021F0052,1,10278-1,KJN2UJ3SGMN7,"Bangor Abatement, Inc.",116,0.05
47PB0018D0037,47PB0023F0020,47PB0018D0037~47PB0023F0020,1,190008-18,LFBRNF359GM1,CONNECTIVITY POINT DESIGN & INSTALLATION LLC,96,0.04
47PB0018D0038,47PB0021F0044,47PB0018D0038~47PB0021F0044,1,1428-05,ETCLYZMNCJN7,VERMONT ELECTRIC COOPERATIVE INC,61,0.02
47PB0018D0038,47PB0023F0002,47PB0018D0038~47PB0023F0002,1,1499-01,SY9SPQZSL9G1,"GERARD A. LAFLAMME, INC.",706,0.33
47PB0018D0038,47PB0023F0002,47PB0018D0038~47PB0023F0002,2,1499-02,CFDQJP1QNKP8,ALL TEMP H V A C CORP,551,0.26
47PB0018D0038,47PB0023F0022,47PB0018D0038~47PB0023F0022,1,1506-01,FPPXK33Y6E55,"PRO-POINT RESTORATION, LLC",348,0.16
47PB0018D0038,47PB0023F0022,47PB0018D0038~47PB0023F0022,2,1506-02,E69LVKHF35D1,"GREENWOOD INDUSTRIES, INC.",328,0.15
